,Date,Open,High,Low,Close
308,108/04/12,"10,820.94","10,836.44","10,782.02","10,805.30"
309,108/04/15,"10,849.84","10,897.21","10,849.55","10,875.60"
310,108/04/16,"10,905.63","10,927.85","10,876.34","10,927.85"
311,108/04/17,"10,961.61","11,016.92","10,961.61","10,997.26"
312,108/04/18,"11,038.24","11,077.99","10,926.85","10,962.02"
313,108/04/19,"11,017.69","11,045.08","10,950.43","10,968.50"
314,108/04/22,"10,994.52","11,027.49","10,974.82","10,987.71"
315,108/04/23,"10,994.28","11,025.68","10,949.30","11,025.68"
316,108/04/24,"11,054.02","11,070.85","10,995.83","11,027.64"
317,108/04/25,"11,017.73","11,046.77","11,006.68","11,039.86"
318,108/04/26,"10,986.53","10,986.53","10,906.44","10,952.47"
319,108/04/29,"10,952.91","10,992.55","10,905.78","10,939.06"
320,108/04/30,"10,945.94","10,978.10","10,910.78","10,967.73"
321,108/05/02,"10,992.76","11,046.64","10,988.70","11,004.49"
322,108/05/03,"11,037.99","11,097.00","11,018.86","11,096.30"
323,108/05/06,"11,005.36","11,005.36","10,870.40","10,897.12"
324,108/05/07,"10,913.95","11,004.76","10,913.95","10,987.14"
325,108/05/08,"10,938.47","10,946.82","10,867.06","10,923.71"
326,108/05/09,"10,910.47","10,910.47","10,732.97","10,733.67"
327,108/05/10,"10,751.55","10,834.69","10,669.39","10,712.99"
328,108/05/13,"10,684.04","10,693.44","10,549.06","10,558.29"
329,108/05/14,"10,480.21","10,544.97","10,363.02","10,519.25"
330,108/05/15,"10,535.24","10,612.50","10,535.24","10,560.71"
331,108/05/16,"10,556.58","10,573.93","10,474.61","10,474.61"
332,108/05/17,"10,508.56","10,564.97","10,384.11","10,384.11"
333,108/05/20,"10,405.36","10,465.84","10,385.18","10,398.41"
334,108/05/21,"10,362.35","10,477.20","10,342.32","10,464.50"
335,108/05/22,"10,481.10","10,520.62","10,453.50","10,457.22"
336,108/05/23,"10,404.00","10,404.00","10,289.69","10,308.37"
337,108/05/24,"10,313.15","10,370.97","10,308.59","10,328.28"
338,108/05/27,"10,344.18","10,365.44","10,305.28","10,334.13"
339,108/05/28,"10,348.58","10,361.61","10,312.31","10,312.31"
340,108/05/29,"10,277.35","10,307.75","10,227.44","10,301.78"
341,108/05/30,"10,307.12","10,384.36","10,306.03","10,382.99"
342,108/05/31,"10,386.12","10,515.10","10,369.02","10,498.49"
343,108/06/03,"10,482.45","10,511.20","10,383.51","10,500.07"
344,108/06/04,"10,499.51","10,518.33","10,421.81","10,429.12"
345,108/06/05,"10,497.50","10,541.29","10,446.51","10,461.62"
346,108/06/06,"10,409.90","10,429.33","10,371.08","10,409.20"
347,108/06/10,"10,486.23","10,566.47","10,466.24","10,566.47"
348,108/06/11,"10,567.54","10,637.90","10,548.06","10,607.76"
349,108/06/12,"10,605.75","10,630.69","10,566.37","10,615.66"
350,108/06/13,"10,582.19","10,617.06","10,539.49","10,561.01"
351,108/06/14,"10,546.42","10,568.92","10,517.82","10,524.67"
352,108/06/17,"10,488.70","10,562.97","10,474.19","10,530.54"
353,108/06/18,"10,547.15","10,573.77","10,521.70","10,566.74"
354,108/06/19,"10,650.48","10,778.64","10,650.48","10,775.34"
355,108/06/20,"10,749.41","10,799.14","10,745.25","10,785.01"
356,108/06/21,"10,817.71","10,840.29","10,773.47","10,803.77"
357,108/06/24,"10,734.25","10,786.33","10,695.49","10,779.45"
358,108/06/25,"10,777.18","10,787.62","10,693.04","10,706.72"
359,108/06/26,"10,661.39","10,690.98","10,645.37","10,652.55"
360,108/06/27,"10,674.20","10,800.29","10,674.20","10,773.90"
361,108/06/28,"10,786.66","10,788.08","10,719.08","10,730.83"
362,108/07/01,"10,821.30","10,914.85","10,821.30","10,895.46"
363,108/07/02,"10,878.01","10,888.21","10,843.64","10,865.12"
364,108/07/03,"10,793.10","10,812.65","10,720.66","10,743.77"
365,108/07/04,"10,755.87","10,791.28","10,750.90","10,775.90"
366,108/07/05,"10,785.85","10,812.38","10,756.67","10,785.73"
367,108/07/08,"10,742.81","10,781.11","10,708.92","10,751.22"
368,108/07/09,"10,729.83","10,733.57","10,680.85","10,702.78"
369,108/07/10,"10,723.23","10,810.16","10,723.23","10,798.48"
370,108/07/11,"10,817.60","10,856.51","10,799.65","10,843.42"
371,108/07/12,"10,855.16","10,867.59","10,823.89","10,824.35"
372,108/07/15,"10,819.92","10,880.56","10,769.57","10,876.43"
373,108/07/16,"10,865.00","10,899.84","10,865.00","10,886.05"
374,108/07/17,"10,861.11","10,861.11","10,804.34","10,828.48"
375,108/07/18,"10,821.92","10,835.43","10,792.27","10,799.28"
376,108/07/19,"10,861.99","10,919.96","10,861.99","10,873.19"
377,108/07/22,"10,910.50","10,949.76","10,909.15","10,944.53"
378,108/07/23,"10,963.86","10,994.44","10,932.53","10,947.26"
379,108/07/24,"10,969.74","10,976.46","10,912.92","10,935.76"
380,108/07/25,"10,892.25","10,945.92","10,879.40","10,941.41"
381,108/07/26,"10,898.25","10,907.44","10,879.24","10,891.98"
382,108/07/29,"10,872.63","10,905.74","10,863.33","10,885.73"
383,108/07/30,"10,909.98","10,927.16","10,827.74","10,830.90"
384,108/07/31,"10,824.15","10,835.80","10,754.07","10,823.81"
385,108/08/01,"10,773.06","10,773.25","10,714.73","10,731.75"
386,108/08/02,"10,641.28","10,641.28","10,524.68","10,549.04"
